exp,peers,nlr,failures,numStraggler,numPrivCnt,UseSig,crash-timing,vctimeout,datacenters,bandwidth,num-connections,orderer,clients,instances,client-threads,segment,leader-policy,epoch,batchsize,batchtimeout,batchrate,msgbatchperiod,buckets,leader-buckets,authentication,verify-early,throughput-cap,target-throughput,rate-per-client,hard-rate-limit,requests,cl-watermarks,batch-verifier,request-handlers,req-buffer-size
0000,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192
0001,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192
0002,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192
0003,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192
0004,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192
0005,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192
0006,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192
0007,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192
0008,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192
0009,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,128,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192
0010,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192
0011,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192
0012,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192
0013,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192
0014,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192
0015,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192
0016,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192
0017,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192
0018,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192
0019,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,512,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192
0020,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192
0021,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192
0022,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192
0023,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192
0024,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,Pbft,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192
0025,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,256,256,false,10240,4194304,external,32,8192
0026,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,512,512,false,20480,4194304,external,32,8192
0027,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1024,1024,false,40960,4194304,external,32,8192
0028,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,1500,1500,false,60000,4194304,external,32,8192
0029,4,1,0,1,5,false,Straggler,60000,1,1gbit,4,HotStuff,1,1,1,32,Simple,128,1024,500,8,1,64,16,true,false,131072000,2000,2000,false,80000,4194304,external,32,8192
